title|isbn|total_pages|amount|publishing_year|publisher_id|price|annotation|cover_path|library_location
Балаганчик|978-1-370-97195-4|24|20|2022|16|542|«Балаганчик» - первая пьеса русского поэта, драматурга, публициста Александра Александровича Блока (1880-1921). Написана в 1906 году. Опубликована в 1908 году в сборнике «Лирические драмы» вместе с пьесами «Король на площади» и «Незнакомка».\nВ январе 1906 года Г.И. Чулков, готовя к печати альманах «Факелы», предложил Блоку написать пьесу. Он посоветовал ему переработать в драматической форме стихотворение 1905 года «Балаганчик». Мысль о драме увлекла Блока, и пьеса была написана в несколько дней. «Балаганчик» родился из отчаяния и иронии, имеет непосредственно биографический подтекст. Мысль рассказать о несчастной любви Пьеро возникла неожиданно в процессе переработки. Из стихотворения того же названия в нее вошли лишь мотивы факельного шествия, деревянного меча, клюквенного сока - насмешливые символы театра жизни. Называя свой первый драматический опыт «лирическими сценами», поэт указывал на особенность создаваемого им драматического жанра. Лирическая волна, вскипая и взлетая, разбивается туманом брызг. И в этом тумане играет радуга призрачных образов, мелькают хороводы масок, возникает действие. Но отступит волна, радуга померкнет и действующие лица опрокинутся в пустоту. Это только пузыри, рожденные лирическим потоком, «музыкой души» поэта Пьеро.\n|../TableData/BooksPhoto/default_book_cover.png|В первом зале,в четвёртом шкафу
Басни|978-5-4472-4323-4|99|12|2015|6|1102|Иван Иванович Дмитриев (1760-1837) - русский поэт, баснописец, прозаик, переводчик, государственный деятель, член Российской академии. Представитель школы русского сентиментализма.\nПоэтическое дарование Дмитриева полнее всего выразилось в повествовательных жанрах. После успеха сказок он обратился к басне, которая стала любимым жанром поэта. Всего Дмитриев, которого современники звали «русским Лафонтеном», написал 80 басен. Основная их часть - переводы из наследия Лафонтена и Флориана. В одних случаях Дмитриев использовал только традиционный сюжет, самостоятельно развивая рассказ о событиях; в других - стремился сохранить и изящный стиль оригинального повествования. Но при этом басни Дмитриева - явление оригинального творчества, обусловленная преобразованием строя русской басни. Личное начало в баснях Дмитриева проявлялось в сосредоточенности автора на моральной стороне жизни героев, которая его трогает и волнует. Его басне чужда сатира. Поэт не обличает, не рисует картин социальной несправедливости, не поучает, но рассказывает о событиях, обнаруживая в ходе самого повествования важные моральные истины. Таковы лучшие басни поэта: «Два голубя», «Искатели Фортуны», «Орел, Кит, Уж и Устрица», «Желания», «Летучая рыба», «Воробей и Зяблица», «Кот, Ласточка и Кролик», «Суп из костей» и т.д.\n|../TableData/BooksPhoto/default_book_cover.png|В первом зале,во втором шкафу
Рамзес|978-1-323-68230-2|40|8|2022|22|1959|«Рамзес» - последняя пьеса русского поэта, драматурга, публициста Александра Александровича Блока (1880-1921). Написана в ноябре 1919 года.\nСоздание этого произведения связано с идеей «драматизированных исторических картин», которую предложил в сентябре 1919 года для только что организованного издательства «Всемирная литература» М. Горький и к осуществлению которой привлек ряд известных писателей. Из своих замыслов Блок довел до завершения только один - одноактную, предельно лаконичную пьесу «Рамзес, сцены из жизни древнего Египта». Это именно «исторические картины», где все - и диалоги персонажей, и ремарки - насыщено бытовыми подробностями. Блок весьма близко следовал своим источникам - трудам историков-египтологов, даже делая отдельные ссылки на них в подробном плане пьесы. Однако пьеса не ограничивается историческим бытописанием. Произведение отличается огромной емкостью смысла и силой «блоковской» иносказательности.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,в третьем шкафу
Заколоченный дом|978-5-4472-4242-8|10|16|2015|6|807|«Заколоченный дом» - рассказ русского писателя, прозаика, поэта, представителя неоромантической школы Александра Грина (Александр Степанович Гриневский) (1880-1932). Написан и впервые опубликован в 1924 году в журнале «Экран рабочей газеты».\nРассказ написан от первого лица в виде воспоминаний лирического героя, который в то время «был не так молод, чтобы верить в чертей, но и не так стар, чтобы отказать себе в надежде на что-то особенное». Любопытство и тяга к таинственному приводит его в «зловеще известный» мрачный заброшенный дом на пустыре, в одной из комнат которого утомленный герой засыпает.\n|../TableData/BooksPhoto/default_book_cover.png|В четвёртом зале,в третьем шкафу
Стихотворения в прозе|978-5-4472-3771-4|121|5|2014|6|1155|«Стихотворения в прозе» - повествовательно-поэтический цикл русского писателя, поэта, публициста, драматурга, переводчика Ивана Сергеевича Тургенева (1818-1883). В цикл вошли миниатюры, написанные в 1877-1882 годы. Впервые цикл был частично опубликован в 1882 году в журнале «Вестник Европы».\n«Стихотворения в прозе» - это философские раздумья писателя, утверждающие мысль о ценности человеческой жизни и значимости каждой неповторимой человеческой личности. Изначально Тургенев рассматривал миниатюры, вошедшие в цикл, как эскизы для будущих произведений. Однако вскоре изменил свое отношение и, опираясь на традиции французской литературы, фактически ввел в русскую литературу новый жанр малой формы: лирическое размышление или прозаическая элегия. Цикл несколько раз переименовывался - «Posthuma», «Senilia», «Зигзаги» и наконец «Стихотворения в прозе».\n|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,в третьем шкафу
Баргамот и Гараська|978-5-4472-3609-0|16|14|2014|6|1761|«Баргамот и Гараська» - один из первых рассказов русского писателя, журналиста, родоначальника русского экспрессионизма Леонида Николаевича Андреева (1871-1919). Написан по предложению редактора специально для пасхального номера газеты «Курьер» и там же впервые опубликован в 1898 году.\nРассказ написан под влиянием очерков Глеба Успенского. Сам автор не был доволен своим литературным опытом и считал его подражательством Чарльзу Диккенсу. Рассказ, однако, растрогал и восхитил Максима Горького, который после прочтения написал Андрееву свои критические замечания: «Лучший ваш рассказ сначала длинен, в середине - превосходен, а в конце вы сбились с тона». Под влиянием авторитетной критики Андреев вычеркнул заключительный эпизод (описание утреннего чаепития городового Баргамотова и поступившего к нему в работники Гараськи), и в новой редакции рассказ был напечатан в 1902 году в журнале «Народное благо» и в коллективном благотворительном сборнике «Книга рассказов и стихотворений».\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,в четвёртом шкафу
Кавказский пленник|978-5-4472-3724-0|41|13|2014|6|1092|«Кавказский пленник» - первая из цикла «восточных байронических» поэм великого русского поэта, драматурга, прозаика, создателя современного русского литературного языка Александра Сергеевича Пушкина (1799-1837). Написана в 1820-1821 годы. Первое издание осуществлено в 1822 году.\nВ основу сюжета положен романтический топос страстной любви разочарованного, душевно опустошенного, но все еще стремящегося к свободе лирического героя (пленного русского офицера), считающего мир пустым и никчемным, к не испорченным цивилизацией «детям природы» (в образе прекрасной черкешенки). Эта лирическая тема подана на эпическом фоне: красоты безбрежного Кавказа, экзотическая жизнь горцев и успехи русского оружия. Пушкин не только создал блестящий образец первого большого романтического произведения, но и отразил в нем характерные черты целого поколения русской и европейской молодежи.\n|../TableData/BooksPhoto/default_book_cover.png|В четвёртом зале,в третьем шкафу
Поцелуй|978-5-4472-4517-7|28|19|2015|6|694|«Поцелуй» - рассказ русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написан и впервые опубликован в 1887 году в газете «Новое время». Включен в сборник «Рассказы».\nОфицеры артиллерийской бригады, остановившейся в селе на ночевку, получают от местного помещика, генерал-лейтенанта фон Раббека приглашение на чай. Уставшие офицеры приезжают в поместье, полное родственников генерала, преодолевают чувство неловкости и начинают веселиться. Больше всех чувствовал себя неловко штабс-капитан Рябович. Уединившись, он вдруг услышал шуршанье женского платья, почувствовал объятия и поцелуй. Но осознав ошибку, поцеловавшая его дама в испуге исчезла. Мысль о таинственной незнакомке не оставляла Рябовича в последующие дни.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,в четвёртом шкафу
Детвора|978-5-4472-4481-1|11|5|2015|6|536|«Детвора» - рассказ русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написан и впервые опубликован в 1886 году в «Петербургской газете» за подписью «А. Чехонте». Включен в сборник «Пестрые рассказы».\nРассказ «Детвора» - добрые и светлые наблюдения за детьми, оставшимися одни дома. В ожидании взрослых Гриша, Аня, Алеша, Соня и кухаркин сын Андрей сидят в столовой за обеденным столом и играют в лото. Играют дети на деньги - и с большим азартом. Но у каждого из них своя причина и свое отношение к игре.\n|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,в четвёртом шкафу
Поединок|978-5-4472-3685-4|407|15|2014|6|873|«Поединок» - повесть русского писателя Александра Ивановича Куприна (1870-1938). Первые наброски повести были сделаны в 1902 году. Впервые повесть напечатана в мае 1905 года в сборнике товарищества «Знание» с посвящением Максиму Горькому.\n«Поединок» вышел в свет в дни разгрома русского флота при Цусиме, обозначившего военный крах царской России. Правдивое изображение Куприным отсталой и небоеспособной армии, разложившихся офицеров, забитых солдат приобретало важный общественно-политический смысл. Повесть словно отвечала на вопрос о причинах дальневосточной катастрофы, а монологи об отсталом, опустившемся офицерстве, забывшем о нуждах страны и народа, звучали как политические воззвания. История подпоручика Ромашова, которого казарменная неволя заставила задуматься о социальном неравенстве, о страданиях угнетенных, о смысле и цели жизни, завершается его гибелью героя.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,в третьем шкафу
Рассказ о семи повешенных|978-5-4472-3613-7|101|11|2014|6|992|«Рассказ о семи повешенных» - рассказ русского писателя, родоначальника русского экспрессионизма Леонида Николаевича Андреева (1871-1919). Впервые опубликован в 1908 году в альманахе «Шиповник» и посвящен Льву Николаевичу Толстому.\nРассказ создан по горячим следам беспрецедентной даже для революционных лет массовой казни через повешение участников «Боевой летучей группы партии социалистов-революционеров Северной области», готовивших покушение на министра юстиции и великого князя. Действие рассказа происходит в камере смертников, в вагоне на пути следования к месту казни и вблизи эшафота, в нескольких шагах от смерти. Через психологически напряженное и реалистичное повествование Андреев рассматривает революционность через призму индивидуальной честности, мужества, личностного бессмертия, искупления своих и чужих грехов.\n|../TableData/BooksPhoto/default_book_cover.png|В первом зале,в четвёртом шкафу
Роза и крест|978-5-4472-4249-7|80|13|2015|6|1526|«Роза и крест» - самое крупное драматическое произведение русского поэта, драматурга, публициста Александра Александровича Блока (1880-1921). Пьеса написана в 1912-1913 годы.\nДрама «Роза и крест» выросла из первоначального плана сценария балета и из набросков оперного либретто. Это совершенно новая веха творческого пути поэта-драматурга. Идейно-философская основа произведения - представление Блока о многогранности жизни, мысль о слиянии далеких, разноречивых и противоположных ее начал. С этим связан и основной мотив пьесы - двуединство Радости-Страдания. Мотив двуединства отражен и в названии произведения, где «роза» символизирует наслаждение и радость жизни, а «крест» - страдание, выпавшее на долю человека или добровольно принимаемое им. Главные герои драмы - Бертран и Изора - живут в многокрасочном и широком мире, где постоянно противоборствуют Зло и Добро, Гнет и Справедливость, Богатство и Бедность.\n|../TableData/BooksPhoto/default_book_cover.png|Во втором зале,во втором шкафу
Панорама Москвы|978-5-4472-4340-1|10|18|2015|6|1225|«Панорама Москвы» - сочинение русского поэта, прозаика, драматурга, художника Михаила Юрьевича Лермонтова (1814-1841). Написано в 1834 году по заданию преподавателя русской словесности в Школе гвардейских подпрапорщиков и кавалерийских юнкеров В.Т. Плаксина. Впервые опубликовано в 1891 году в собрании сочинений под редакцией Висковатова.\nВыполняя практическое задание, построив сочинение по плану, рекомендованному преподавателем, Лермонтов создал небольшой очерк, тесно связанный со всем его творчеством и имеющий современный смысл. Апофеоз Москвы в лермонтовской панораме находится в несомненной связи с горячими спорами о Петербурге и Москве, которые велись в обществе в те годы.\n|../TableData/BooksPhoto/default_book_cover.png|В первом зале,во втором шкафу
Роман И.А. Гончарова «Обломов»|978-5-4472-4381-4|32|15|2015|6|560|«Роман И.А. Гончарова Обломов» - критическая статья русского публициста и литературного критика Дмитрия Ивановича Писарева (1840-1868). Написана и впервые опубликована в 1859 году в журнале «Рассвет».\nУмение проследить состояние души героя, умение раскрыть его перед читателем и объяснить участие общества в формировании выбранных характеров Писарев называл главным талантом и делом современных литераторов. Критик полагал, что мысль Гончарова, проведенная в романе «Обломов», «принадлежит всем векам и народам, но имеет особенное значение в наше время, для нашего русского общества». Он считал, что русский писатель блестяще решил поставленную им общечеловеческую психологическую задачу, причем сделал это «в явлениях чисто русских, национальных, возможных только при нашем образе жизни, при тех исторических обстоятельствах, которые сформировали народный характер, при тех условиях, под влиянием которых развивалось и отчасти развивается до сих пор наше молодое поколение». В числе отличительных признаков таланта Гончарова критик называл полную объективность, «спокойное, бесстрастное творчество, отсутствие узких временных целей, профанирующих искусство, отсутствие лирических порывов, нарушающих ясность и отчетливость эпического повествования».\n|../TableData/BooksPhoto/default_book_cover.png|В четвёртом зале,в четвёртом шкафу
Полтава|978-5-4472-3732-5|64|10|2014|6|1519|«Полтава» - поэма великого русского поэта, драматурга, прозаика, создателя современного русского литературного языка Александра Сергеевича Пушкина (1799-1837). Написана в 1828 году. Вышла в свет отдельным изданием в марте 1829 года.\nПоэма рассказывает о Полтавской битве - крупнейшем сражении Северной войны между русскими войсками под командованием Петра I и шведской армией Карла XII, которое произошло 27 июня 1709 года. Разгром шведской армии привел к перелому в войне в пользу России и положил конец доминированию Швеции в Европе. В работе над поэмой Пушкин обращался как к историческим источникам, так и к молдавским преданиям, народным украинским песням и думам. Поэма посвящена Марии Волконской, дочери генерала Раевского, героя Отечественной войны 1812 года, которая последовала за своим мужем-декабристом в сибирскую ссылку.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,во втором шкафу
Весна|978-5-4472-4329-6|6|6|2015|6|1406|«Весна» - стихотворение русского поэта, представителя школ «новокрестьянской поэзии» и «русского имажинизма» Сергея Александровича Есенина (1895-1925). Написано в декабре 1924 года. Впервые опубликовано в январе 1925 года как второе стихотворение в цикле «Листки» в журнале «Новый мир».\nСтихотворение «Весна» написано в Батуми, когда после очень редких в тех краях метели и снегопада природа благодатного юга взяла свое, и весна наградила поэта теплом и лаской. Красивое и жизнеутверждающее стихотворение, отражающее позитивно-оптимистический настрой Есенина в «батумский период» творческой активности.\n|../TableData/BooksPhoto/default_book_cover.png|Во втором зале,в третьем шкафу
Ленин (отрывок из поэмы «Гуляй-поле»)|978-1-916389-99-1|8|17|2022|9|1587|«Ленин» - стихотворение русского поэта, представителя школ «новокрестьянской поэзии» и «русского имажинизма» Сергея Александровича Есенина (1895-1925). Написано и впервые опубликовано в 1924 году.\nСтихотворение «Ленин», которое специалисты называют «вершиной творчества Есенина» - это фрагмент из ненаписанной поэмы поэта «Гуляй-поле». Основной мотив произведения - смерть Ленина, человека, который с точки зрения автора «спас нас», русский народ от гнета капитализма и иностранного империалистического господства. Создавая портрет вождя революции и великого учителя, Есенин сознательно отказывается от всякого стремления к монументальности и говорит о живом и добром, «застенчивом, простом и милом» человеке - таким видит он Ленина.\n|../TableData/BooksPhoto/default_book_cover.png|В первом зале,в третьем шкафу
Четыре дня|978-5-4472-4198-8|19|5|2015|6|1881|«Четыре дня» - рассказ русского писателя, поэта, критика Всеволода Михайловича Гаршина (1855-1888). Написан и впервые опубликован в 1877 году в журнале «Отечественные записки».\nРассказ основан на реальных событиях, очевидцем которых был сам Гаршин в бытность вольноопределяющимся в русской армии во время русско-турецкой войны 1877-1878 годов. Рядовой Иванов приходит в себя в лесу после одного из боев. Обе его ноги перебиты. Неподалеку неподвижно лежит заколотый им солдат - феллах в египетском мундире. Чувство вины перед незнакомым человеком, никогда не слышавшим ни о России, ни о Болгарии, и моральных терзаний перемешивается с чувством жажды. На теле феллаха видна фляга с водой, которая может помочь русскому солдату прожить еще несколько дней.\nЭтот литературный дебют сразу же принес Гаршину известность: критики отмечали уникальное умение молодого автора показать и донести до читателя «окопную правду» войны.\n|../TableData/BooksPhoto/default_book_cover.png|Во втором зале,во втором шкафу
Путешествие в Арзрум во время похода 1829 года|978-1-285-33838-5|112|8|2022|1|576|«Путешествие в Арзрум во время похода 1829 года» - очерк великого русского поэта, драматурга, прозаика, создателя современного русского литературного языка Александра Сергеевича Пушкина (1799-1837). Написан в 1829-1835 годы. Впервые под названием «Военная Грузинская дорога» напечатан в 1830 году в «Литературной газете»; полностью - в 1836 году в «Современнике».\nВ 1829 году Пушкин находился с частями армии генерала И.Ф. Паскевича, действовавшей против турецких войск в Закавказье. Во время путешествия Пушкин вел дорожные записки, которые легли в основу очерка. В кавказском корпусе русской армии находилось до шестидесяти человек сосланных декабристов. Встреча со старыми приятелями-друзьями наполняла поэта радостью и надеждой. Завершение работы над очерком было приурочено к десятилетию осуждения участников декабристского движения. Самим содержанием своих заметок и всей той любовью, с которой поэт писал о встреченных им сосланных декабристах, Пушкин показывал, что ждет от Николая I того же величия личности, которое в свое время позволило Петру Великому примириться с наказанными противниками.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,в четвёртом шкафу
Беззащитное существо|978-5-4472-4420-0|10|17|2015|6|919|«Беззащитное существо» - рассказ русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написан и впервые опубликован в 1887 году в журнале «Осколки» за подписью «А. Чехонте». В 1891 году на основе рассказа Чехов написал водевиль «Юбилей».\nГерой рассказа «Беззащитное существо» - пожилой управляющий банком Кистунов - в один из дней сталкивается с неприятной и щекотливой ситуацией. В банк к нему пришла просительница, жена коллежского асессора Щукина, муж которой получил отставку со службы по болезни. «Беззащитное существо» хочет получить денежную компенсацию, объектом своих настойчивых прошений выбрав банк Кистунова.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,в четвёртом шкафу
Мои университеты|978-5-4472-3640-3|154|10|2014|6|1337|«Мои университеты» - третья повесть в автобиографической трилогии российского писателя, прозаика, драматурга, основателя социалистического реализма в литературе Максима Горького (Алексея Максимовича Пешкова) (1868-1936). Написана в 1923 году.\nВ повести отражена завершающая фаза формирования характера и личности лирического героя - Алексея Пешкова, который отправляется в Казань поступать в университет, но вскоре ввиду нехватки средств, понимает, что учеба там - не для него. Основной лейтмотив произведения - зарождение и развитие в обществе революционных настроений, как обретение новой надежды на возможную лучшую жизнь. Примечательно, что автор придерживается идеи, что достичь поставленных целей, изменить мир может каждый, но для этого необходимо правильное образование, причем с классическим университетским оно может не иметь ничего общего. Сама жизнь является для героя университетом - такова основная мысль повести.\n|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,во втором шкафу
Лазурные берега|978-5-4472-4298-5|140|9|2015|6|1740|«Лазурные берега» - цикл очерков русского писателя Александра Ивановича Куприна (1870-1938). Состоит из 20 очерков, написанных в 1912 году. Впервые цикл был опубликован в 1913 году в газете «Речь».\nВесной 1912 года вместе с семьей Куприн предпринимает путешествие по Европе, посещает Францию, Италию, Испанию и на основе этих впечатлений создает свой цикл путевых очерков «Лазурные берега». Находясь за границей, Куприн то делает особый акцент на своей принадлежности к русской нации, то сознательно маскируется. Подобное перевоплощение, как считают специалисты, обусловлено творческой философией писателя - с точки зрения Куприна, уникальность любой нации должны признаваться, но большим недостатком для писателя может стать замыкание в рамках своей национальной принадлежности.\n|../TableData/BooksPhoto/default_book_cover.png|В четвёртом зале,в четвёртом шкафу
Отрочество|978-5-4472-3757-8|119|7|2014|6|1378|«Отрочество» - повесть русского писателя, публициста, просветителя и религиозного мыслителя Льва Николаевича Толстого (1828-1910). Вторая часть автобиографической трилогии писателя. Написана в 1852-1854 годы. Впервые напечатана в 1854 году в журнале «Современник».\nПовесть продолжает сюжетную линию первой части трилогии - «Детство». Период отрочества начинается у Николеньки Иртеньева после смерти матери и с переездом в Москву. Меняется его восприятие окружающего мира - приходит понимание того, что мир не вращается вокруг него одного, что вокруг много людей, которым до него нет дела. Среди доминирующих черт мальчика - застенчивость, доставляющая герою множество страданий, и желание быть любимым. Николенька погружен в критический самоанализ, но его живо интересует жизнь других людей - так он узнает о сословном неравенстве. Взрослея, он задумывается о смысле жизни, о своем собственном предназначении. Для автора очень важен процесс постепенного размыкания индивидуалистической замкнутости ребенка, как с нравственной, так и с психологической стороны.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,в третьем шкафу
Студент|978-5-4472-4202-2|92|5|2015|6|1310|«Студент» - пьеса русского дипломата, поэта, драматурга, композитора Александра Сергеевича Грибоедова (1795-1829). Написана в соавторстве с поэтом и драматургом Павлом Александровичем Катениным (1792-1853) в 1817 году. При жизни авторов комедия на сцене не ставилась. Впервые пьеса опубликована в отрывках в «Сборнике, издаваемом студентами С.-Петербургского Университета» в 1860 году.\nКомедия в трех действиях написана в литературно-полемических целях. В ней осмеяно сентиментально-элегическое направление в русской поэзии того времени, содержатся пародии на стихи К.Н. Батюшкова и В.А. Жуковского и ироничные прямые цитаты из этих и других поэтов. Кроме того, комедия явно направлена против М.Н. Загоскина - в ту пору литературного оппонента Грибоедова. Само имя героя комедии - начинающего литератора Беневольского, приехавшего в столицу - воспроизводит псевдоним Загоскина «Ювенал Беневольский», которым тот подписывал свои статьи в журнале «Северный наблюдатель». Катениным написано две трети рукописи, остальная часть написана переписчиком с правками Катенина. Что именно в комедии принадлежит Грибоедову - не установлено за отсутствием данных.\n|../TableData/BooksPhoto/default_book_cover.png|В первом зале,во втором шкафу
Роман в письмах|978-0-8345-4993-7|37|16|2022|2|845|«Роман в письмах» - неоконченный роман великого русского поэта, драматурга, прозаика, создателя современного русского литературного языка Александра Сергеевича Пушкина (1799-1837). Написан в 1829 году. Впервые опубликован под названием «Отрывки из романа в письмах» П.В. Анненковым в 1857 году в дополнительном томе издания сочинений А.С. Пушкина.\nЗамысел романа, так и не получившего авторское название, связан с впечатлениями Пушкина от пребывания осенью 1829 года в селе Павловском. Писатель предполагал вложить в будущее произведение свои излюбленные мысли о назначении помещика, о положении дворянства и его отношении к крестьянству, о подлинной и мнимой русской аристократии, а также некоторые «общие соображения о чинах в России и о системе дворянского воспитания». Для своего замысла Пушкин избрал старую эпистолярную форму, в которой писал свои собственные письма. Переписка персонажей представлялась автору удобным средством не только для обсуждения волновавших его вопросов, но также и для раскрытия внутреннего мира героев романа.\n|../TableData/BooksPhoto/default_book_cover.png|Во втором зале,в третьем шкафу
