isbn|title|genre|author|path|pages|description|publisher|annotation|writing_year|publishing_year|cover_path
978-5-4472-4306-7|Рахиль|['Рассказ']|Куприн Александр|../TableData/BooksEpub/Рахиль_1.epub|21|Произведение является первой частью киносценария, который был задуман и начат в 1922 году в Париже по предложению режиссера В. Туржанского. По словам близких, Александра Куприна живо увлекала история библейской Рахили - одной из двух жен патриарха Иакова, чей образ символизирует не только матерей, которым рождение ребенка стоило жизни, но и матерей, до конца сострадающих своим детям и заботящихся о судьбе детей. «Рахиль» - незавершенный киносценарий. Вторая и третья его части остались в черновых набросках.\n|ДА!Медиа|«Рахиль» - незавершенный киносценарий русского писателя Александра Ивановича Куприна (1870-1938).\nПроизведение является первой частью киносценария, который был задуман и начат в 1922 году в Париже по предложению режиссера В. Туржанского. По словам близких Куприна живо увлекала история библейской Рахили - одной из двух жен патриарха Иакова, образ которой символизирует не только матерей, которым рождение ребенка стоило жизни, но и матерей, до конца сострадающих своим детям и заботящихся о судьбе их детей. Вторая и третья части киносценария остались в черновых набросках.\n||2015|../TableData/BooksPhoto/default_book_cover.png
|Лирика|['Поэзия']|Пушкин Александр|../TableData/BooksEpub/Лирика_1.epub|213|Считается, что русский литературный - в том числе и поэтический - язык возник именно благодаря творчеству Пушкина. Поэта превозносили, ему подражали, его стихи использовали в агитационных целях. Он при жизни стал поэтической иконой России.\nВ сборник вошли в основном ранние стихи Пушкина, написанные в период учебы в Императорском Царскосельском лицее - «К Наталье», «К другу стихотворцу», «Блаженство», «Кюхельбекеру» и другие произведения.\n||Это произведение - общепризнанный шедевр мировой художественной литературы, и сегодня не утративший свою содержательную ценность. Оно включено в список «Тысяча лучших произведений мировой художественной литературы в русских переводах, рекомендованных для комплектования школьной библиотеки», подготовленный НИО библиографии Российской государственной библиотеки, Российской государственной детской библиотеки и Российской государственной юношеской библиотеки и перечень, рекомендованный Министерством образования и науки Российской Федерации.\nВ состав экспертной рабочей группы по составлению перечня вошли представители Российской академии наук, Российской академии образования, Минкультуры России, Минрегиона России, представители СМИ, общественных и религиозных организаций, учителя и многие другие.\n|||../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4368-5|Женские типы в романах и повестях Писемского, Тургенева и Гончарова|['Статья']|Писарев Дмитрий|../TableData/BooksEpub/Женские_типы_в_романах_и_повестях_Писемского_Тургенева_и_Гончарова_1.epub|84|Вопрос о «женских типах», созданных Алексеем Писемским, Иваном Тургеневым и Иваном Гончаровым, Дмитрий Писарев рассматривает в контексте проблем воспитания, которые поднимали появившиеся в России «педагогические журналы». Объектом нападок этих изданий стали женщины - и как матери-воспитательницы, и как дочери-воспитанницы, представляющие вырастающее молодое поколение. Приступая к анализу женских типов, Писарев оговаривает, что «современное положение женщины он считает крайне тяжелым и неутешительным, но, во всех случаях оправдывая женщину, он выбирает для рассмотрения «только те личности, которые еще борются с жизнью и чего-нибудь от нее требуют». Женщины, уже примирившиеся со своей долей, критика не занимают, потому что «они, собственно говоря, уже перестали жить».\nКритическая статья написана и впервые опубликована в 1861 году в журнале «Русское слово».\n|ДА!Медиа|«Женские типы в романах и повестях Писемского, Тургенева и Гончарова» - критическая статья русского публициста и литературного критика Дмитрия Ивановича Писарева (1840-1868). Написана и впервые опубликована в 1861 году в журнале «Русское слово».\nВопрос о «женских типах», созданных А.Ф. Писемским, И.С. Тургеневым и И.А. Гончаровым, Писарев рассматривает в контексте проблем воспитания, которые поднимали появившиеся в России «педагогические журналы». Объектом нападок этих изданий стали женщины - и как матери-воспитательницы, и как дочери-воспитанницы, представляющие вырастающее молодое поколение. Приступая к анализу женских типов, Писарев оговаривает, что современное положение женщины он считает крайне тяжелым и неутешительным, но, во всех случаях оправдывая женщину, он выбирает для рассмотрения «только те личности, которые еще борются с жизнью и чего-нибудь от нее требуют». Женщины, уже примирившиеся со своей долей, критика не занимают, потому что «они, собственно говоря, уже перестали жить».\n|1861|2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-3615-1|Иоланда|['Рассказ']|Вельтман Александр|../TableData/BooksEpub/Иоланда_1.epub|17|Фантастический рассказ «Иоланда» вышел в журнале «Московский наблюдатель» в 1837 году. Его главный герой Гюи Бертран владел особенным искусством: он создавал скульптуры из воска. Это занятие было запрещено инквизицией - нарушившему запрет грозила смертная казнь. Но однажды заказчик, которые пожелал остаться неизвестным, попросил Бертрана создать восковую фигуру по портрету. И скульптор согласился, хотя предчувствие подсказывало ему, что что-то должно произойти...\n|ДА!Медиа|Александр Фомич Вельтман (1800-1870) - российский картограф, лингвист, археолог, поэт и писатель. Участник Русско-турецкой войны 1828-1829, подполковник. Родоначальник жанра исторического фэнтези, одним из первых в мировой литературе обратившийся к идее путешествия во времени.\nЛитературная деятельность Вельтмана многогранна и разнообразна. Он написал десятки рассказов и повестей, пятнадцать романов. Каждое его произведение поражало современников оригинальностью замысла и формой его выражения. Особое место в творчестве писателя занимает рассказ «Иоланда», написанный в 1837 году. Это повествование о событиях частной и общественной жизни во Франции XIV в. Эпизоды рассказа связаны сложной авантюрно-детективной композицией и фантастический элемент в нем совершенно особого рода. Сюжетную загадку можно разгадать лишь косвенно, и у читателя остается впечатление непостижимого, почти мистического стечения обстоятельств, приведших всех героев к гибели.\n|1837|2014|../TableData/BooksPhoto/default_book_cover.png
|Поэтам Грузии|['Поэзия']|Есенин Сергей|../TableData/BooksEpub/Поэтам_Грузии_1.epub|6|Это стихотворение Сергей Есенин написал в 1924 году во время поездки на Кавказ. Есенин писал «южным братьям», «товарищам по чувствам» об особом душевном родстве творческих людей. Жена грузинского поэта Тициана Табидзе вспоминала об авторском чтении стихотворения: «Один раз Есенин пришел к нам в 12 часов ночи. <...> Необычайно творчески взволнованный, Есенин достал свое новое стихотворение и прочитал друзьям. То было известное стихотворение «Поэтам Грузии». Это был необычайный поэтический вечер. Тициан достал книгу стихов Важа Пшавела и читал Есенину по-грузински, тут же слово в слово переводя. Восторгу Есенина не было границ».\n||«Поэтам Грузии» - стихотворение русского поэта, представителя школ «новокрестьянской поэзии» и «русского имажинизма» Сергея Александровича Есенина (1895-1925). Написано и впервые опубликовано в 1924 году в газете «Заря Востока».\n«Поэтам Грузии» - возвышенное стихотворное обращение Есенина к грузинским коллегам-литераторам, написанное вскоре после дружеского банкета в честь русского поэта в Тифлисе. Грузинских поэтов Есенин называет товарищами «по чувствам, по перу»; он превозносит интернациональное братство поэтов, над которыми «свобода крылья распростерла» и которое останется нерушимым в «пропасти времен», спустя многие годы.\n|||../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4393-7|Дружеские советы|['Повесть']|Плещеев Алексей|../TableData/BooksEpub/Дружеские_советы_1.epub|131|Главный герой повести «Дружеские советы» - двадцатилетний мечтатель Василий Ломтев. Для него не существует «грязной» стороны действительности - он живет миром искусства, творениями Пушкина, Жуковского, Гете, музыкой Шуберта, Вебера. Жизнь он ведет неторопливую, уединенную и ленивую; сочувствует «всему благородному, высокому», обладает бескорыстной, доброй душой и готов прийти на помощь нуждающемуся товарищу. Из романтических книг он почерпнул свой идеал - встретить «постоянно любящее, милое моему сердцу создание», создать с ним уютный семейный очаг и вместе пройти долгий житейский путь. Надежда на осуществление долгожданного счастья приходит к Ломтеву при знакомстве с Верочкой. Добрым дружеским советом поддерживает героя его старший товарищ Околесин. Но мечте Ломтева не суждено сбыться - девушка выходит замуж за некоего доброго и благородного молодого человека.\nПовесть написана и впервые опубликована в 1849 году в журнале «Отечественные записки».\n|ДА!Медиа|«Дружеские советы» - повесть русского прозаика, поэта, переводчика, литературного и театрального критика, мецената Алексея Николаевича Плещеева (1825-1893). Написана и впервые опубликована в 1849 году в журнале «Отечественные записки».\nГлавный герой повести «Дружеские советы» - двадцатилетний мечтатель Василий Ломтев. Для него не существует «грязной» стороны действительности - он живет миром искусства, творениями Пушкина, Жуковского, Гете, музыкой Шуберта, Вебера. Жизнь он ведет неторопливую, уединенную и ленивую; сочувствует «всему благородному, высокому», обладает бескорыстной, доброй душой и готов прийти на помощь нуждающемуся товарищу. Из романтических книг он почерпнул свой идеал - встретить «постоянно любящее, милое моему сердцу создание», создать с ним уютный семейный очаг и вместе пройти долгий житейский путь. Надежда на осуществление долгожданного счастья приходит к Ломтеву при знакомстве с Верочкой. Добрым дружеским советом поддерживает героя его старший товарищ Околесин. Но мечте Ломтева не суждено сбыться - девушка выходит замуж за некоего доброго и благородного молодого человека.\n|1849|2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-3693-9|Леди Макбет Мценского уезда|['Повесть']|Лесков Николай|../TableData/BooksEpub/Леди_Макбет_Мценского_уезда_1.epub|74|Впервые повесть Николая Лескова была опубликована в журнале «Эпоха» в январе 1865 года под названием «Леди Макбет нашего уезда».\nГлавная героиня, Катерина Львовна, выданная замуж за купца по расчету, скучает: муж всегда в отлучке, детей у них нет, свекр ее постоянно попрекает. Она влюбляется в молодого и дерзкого приказчика Сергея, ради которого готова пойти на все - даже на убийство.\nПовесть должна была стать началом цикла очерков «исключительно одних типических женских характеров (окской и частию волжской) местности» Николая Лескова для журнала «Эпоха», однако журнал закрыли.\n|ДА!Медиа|«Леди Макбет Мценского уезда» - повесть русского писателя Николая Семеновича Лескова (1831-1895). Написана в 1864 году. Впервые опубликована в 1865 году в журнале «Эпоха» под заглавием «Леди Макбет нашего уезда», как «первый в серии очерков исключительно одних типических женских характеров окской и частию волжской местности».\nЭто произведение сам автор называл «историей мрачной, в строгих тонах выдержанным этюдом о сильном и страстном женском характере». Главная героиня повести - молодая купчиха Катерина Измайлова, влюбившаяся в молодого красивого приказчика Сергея. Она готова на все ради своей грешной, преступной любви, ради своего возлюбленного. И начинается череда страшных смертей... Гибель главной героини в финале усугубляет ощущение непроглядной темени купеческого быта.\n|1864|2014|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4420-0|Беззащитное существо|['Рассказ']|Чехов Антон|../TableData/BooksEpub/Беззащитное_существо_1.epub|10|Герой рассказа «Беззащитное существо» - пожилой управляющий банком Кистунов - в один из дней сталкивается с неприятной и щекотливой ситуацией. В банк к нему пришла просительница, жена коллежского асессора Щукина, муж которой получил отставку со службы по болезни. «Беззащитное существо» хочет получить денежную компенсацию, объектом своих настойчивых прошений выбрав банк Кистунова.\nРассказ написан и впервые опубликован в 1887 году в журнале «Осколки» за подписью «А. Чехонте». В 1891 году на основе рассказа Чехов написал водевиль «Юбилей».\n|ДА!Медиа|«Беззащитное существо» - рассказ русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написан и впервые опубликован в 1887 году в журнале «Осколки» за подписью «А. Чехонте». В 1891 году на основе рассказа Чехов написал водевиль «Юбилей».\nГерой рассказа «Беззащитное существо» - пожилой управляющий банком Кистунов - в один из дней сталкивается с неприятной и щекотливой ситуацией. В банк к нему пришла просительница, жена коллежского асессора Щукина, муж которой получил отставку со службы по болезни. «Беззащитное существо» хочет получить денежную компенсацию, объектом своих настойчивых прошений выбрав банк Кистунова.\n|1887|2015|../TableData/BooksPhoto/default_book_cover.png
|Бородино|['Поэма']|Лермонтов Михаил|../TableData/BooksEpub/Бородино_1.epub|8|В знаменитой поэме Михаила Лермонтова «Бородино» простой солдат рассказывает о решающем сражении в войне 1812 года - Бородинской битве. Артиллерист, один из многих, кто защищал родину, с восторгом вспоминает бой, в котором русские солдаты проявили невероятное мужество и победили наполеоновскую армию.\nМихаил Лермонтов написал «Бородино» к 25-летию Бородинской битвы. Литературный Виссарион Белинский писал о стихотворении Лермонтова: «...в каждом слове слышите солдата, язык которого, не переставая быть грубо простодушным, в то же время благороден, силен и полон поэзии».\n||Это произведение - общепризнанный шедевр мировой художественной литературы, и сегодня не утративший свою содержательную ценность. Оно включено в список «Тысяча лучших произведений мировой художественной литературы в русских переводах, рекомендованных для комплектования школьной библиотеки», подготовленный НИО библиографии Российской государственной библиотеки, Российской государственной детской библиотеки и Российской государственной юношеской библиотеки и перечень, рекомендованный Министерством образования и науки Российской Федерации.\nВ состав экспертной рабочей группы по составлению перечня вошли представители Российской академии наук, Российской академии образования, Минкультуры России, Минрегиона России, представители СМИ, общественных и религиозных организаций, учителя и многие другие.\n|||../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4442-2|В усадьбе|['Рассказ']|Чехов Антон|../TableData/BooksEpub/В_усадьбе_1.epub|15|Герой рассказа «В усадьбе» помещик Павел Ильич Рашевич разглагольствует перед своим гостем, судебным следователем Мейером, о пагубности идей братства и равенства людей, о дарвинистской и исторической оправданности сословного устройства и о «белой кости» как основе общественного устройства. Мейер отмалчивается, но потом заявляет, что он - простой «мещанин», сын рабочего, и тем гордится. Рашевич смущен, расстроен и подавлен.\nРассказ написан и впервые опубликован в 1894 году в газете «Русские ведомости». Включен в сборник «Повести и рассказы».\n|ДА!Медиа|«В усадьбе» - рассказ русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написан и впервые опубликован в 1894 году в газете «Русские ведомости». Включен в сборник «Повести и рассказы».\nГерой рассказа «В усадьбе» - помещик Павел Ильич Рашевич разглагольствует перед своим гостем, судебным следователем Мейером о пагубности идей братства и равенства людей, о дарвинистской и исторической оправданности сословного устройства и о «белой кости», как основе общественного устройства. Мейер отмалчивается, но потом заявляет, что он - простой «мещанин», сын рабочего и тем гордится. Рашевич смущен, расстроен и подавлен.\n|1894|2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4493-4|Жалобная книга|['Рассказ']|Чехов Антон|../TableData/BooksEpub/Жалобная_книга_1.epub|6|Рассказ «Жалобная книга» - сатирическая миниатюра. Ее основной текст составляют фрагменты из некоей книги, которая находится в специально построенной для нее конторке на станции железной дороги. Ключ от конторки хранится у станционного жандарма, на деле же никакого ключа не нужно, так как конторка всегда отперта.\nРассказ написан и впервые опубликован в 1884 году в журнале «Осколки» за подписью «А. Чехонте».\n|ДА!Медиа|«Жалобная книга» - рассказ русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написан и впервые опубликован в 1884 году в журнале «Осколки» за подписью «А. Чехонте».\nРассказ «Жалобная книга» - сатирическая миниатюра, основной текст которой составляют фрагменты из некой книги, которая находится в специально построенной для нее конторке на станции железной дороги. Ключ от конторки хранится у станционного жандарма, на деле же никакого ключа не нужно, так как конторка всегда отперта.\n|1884|2015|../TableData/BooksPhoto/default_book_cover.png
|Стихотворения|['Поэзия']|Плещеев Алексей|../TableData/BooksEpub/Стихотворения_7.epub|98|Первые стихотворения Алексея Плещеева - поэта, литературного критика, мецената - вышли в журнале «Современник» в 1844 году. Его произведения пропитаны гражданским пафосом, идеей всеобщего равенства и счастья. Валериан Майков, литературный критик и публицист, писал о поэте: «Плещеев - бесспорно первый наш поэт в настоящее время... Он, как видно из его стихотворений, взялся за дело поэта по призванию, он сильно сочувствует вопросам своего времени, страдает всеми недугами века, болезненно мучится несовершенствами общества...»\n||Алексей Николаевич Плещеев (1825-1893) - русский прозаик, поэт, переводчик, литературный и театральный критик, меценат; участник «кружка Петрашевского».\nПервый сборник стихотворений Плещеева был издан в 1846 году. Вошедшие в него стихотворения «На зов друзей», «Вперед! без страха и сомненья...» и «По чувствам братья мы с тобой» были необычайно популярны в революционной молодежной среде того времени. Строфы плещеевских революционных гимнов для сверстников и единомышленников поэта имели вполне конкретное содержание, например: «любви учение» расшифровывалось как учение французских социалистов-утопистов; «подвиг доблестный» означал призыв к общественному служению и т.д. Поэзия Плещеева - в частности стихотворение «Новый год» - оказалась фактически первой литературной реакцией в России на Французскую революцию 1848 года. Во многом именно поэтому его творчество так ценили «петрашевцы», ставившие своей непосредственной целью перенос буржуазно-демократических революционных идей на отечественную почву. На стихи Плещеева известнейшими русскими композиторами написано более ста романсов. Его стихотворения для детей считаются хрестоматийными.\n|||../TableData/BooksPhoto/default_book_cover.png
978-5-4472-3788-2|Скучная история|['Повесть']|Чехов Антон|../TableData/BooksEpub/Скучная_история_1.epub|81|Повесть «Скучная история» Антон Чехов написал в 1889 году, в этом же году она вышла в журнале «Северный вестник». Прототипом героя стал профессор Александр Бабухин, лекции которого Чехов слушал на медфаке Московского университета.\nГлавный герой произведения, профессор Николай Степанович, болен. Он чувствует приближение скорой смерти и каждый день все глубже погружается в пучину депрессии. Некогда любимая работа больше не приносит ему вдохновения, посетители раздражают, домочадцы кажутся чужими. У Николая Степановича остается только одна отдушина - дочь покойного друга Катя, в разговорах с которой он находит утешение.\n|ДА!Медиа|«Скучная история» - повесть русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написана и впервые напечатана в 1889 году в журнале «Северный вестник».\nПовествование ведется от первого лица главным героем произведения - заслуженным профессором Николаем Степановичем, известнейшим человеком. Он неизлечимо болен и по собственным прогнозам жить ему осталось не больше полугода. Герой размышляет о своей судьбе, о своей уже омертвевшей душе и пытается понять себя, описывая ход своей обычной жизни, из которой ушла радость. Он по-прежнему много времени проводит с дочерью своего покойного товарища Катей, опекуном которой является. Но, занятая своими заботами, девушка не в состоянии проникнуться чувствами и мыслями своего опекуна. Отчуждение героев взаимно: старому профессору нечего ответить девушке, которая позже обращается к нему за советом.\n||2014|../TableData/BooksPhoto/default_book_cover.png
|Воры|['Рассказ']|Чехов Антон|../TableData/BooksEpub/Воры_1.epub|24|Рассказ «Воры» был впервые напечатан в 1890 году в журнале «Новое обозрение». Первоначально произведение называлось «Черти». Чехов писал издателю журнала Алексею Суворину: «Вы хотите, чтобы я, изображая конокрадов, говорил бы: кража лошадей есть зло. Но ведь это и без меня давно уже известно. Пусть судят их присяжные заседатели, а мое дело показать только, какие они есть. Я пишу: вы имеете дело с конокрадами, так знайте же, что это не нищие, а сытые люди, что это люди культа и конокрадство есть не просто кража, а страсть».\nРассказ начинается с того, что фельдшер Ергунов возвращается из деревни Репино, куда ездил на докторской лошади за покупками для больницы. Заблудившись, Ергунов попадает в дом, где живут старуха-вдова и ее дочь Любка. Там он встречает воров-конокрадов - Калашникова и Мерика.\n||«Воры» - рассказ русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написан и впервые опубликован в 1890 году в газете «Новое время».\nФельдшер Ергунов - герой рассказа «Воры» - возвращаясь с вызова, сбился с пути и оказался у неизвестного ему одинокого хутора. Фельдшера впустили на ночлег, накормили, напоили, уложили спать, а ночью один из постояльцев увел его лошадь. Столкнувшись на короткое время с реальностью жизни «разбойничьего вертепа», Ергунов подумал о том, что «если сам он до сих пор не стал вором, мошенником или даже разбойником, то потому только, что не умеет или не встречал еще подходящего случая». Конокрад по имени Мерик встречается и в других, созданных ранее пьесах и рассказах Чехова: в первой пьеса писателя «Безотцовщина» и в драматическом этюде «На большой дороге».\n|1890||../TableData/BooksPhoto/default_book_cover.png
|Бедный принц|['Сказка']|Куприн Александр|../TableData/BooksEpub/Бедный_принц_1.epub|18|Рождественскую сказку «Бедный принц» Александр Куприн закончил в селе Даниловском в декабре 1909 года, а уже через две недели она появилась на страницах «Петербургской газеты». Главный герой детской книги - юный дворянин Даня, который представлял себя заколдованным принцем в скучном царстве, где не с кем играть. Подружившись с «уличными мальчишками» вопреки запрету отца, Даня пел колядки, убегал от городового и ел на морозе малороссийскую колбасу.\n||Это произведение - общепризнанный шедевр мировой художественной литературы, и сегодня не утративший свою содержательную ценность. Оно включено в список «Тысяча лучших произведений мировой художественной литературы в русских переводах, рекомендованных для комплектования школьной библиотеки», подготовленный НИО библиографии Российской государственной библиотеки, Российской государственной детской библиотеки и Российской государственной юношеской библиотеки и перечень, рекомендованный Министерством образования и науки Российской Федерации.\nВ состав экспертной рабочей группы по составлению перечня вошли представители Российской академии наук, Российской академии образования, Минкультуры России, Минрегиона России, представители СМИ, общественных и религиозных организаций, учителя и многие другие.\n|1909||../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4302-9|Париж домашний|['Очерк']|Куприн Александр|../TableData/BooksEpub/Париж_домашний_1.epub|35|Живя во Франции, Александр Куприн с большим интересом знакомился с бытом, нравами, культурой и искусством чужой страны. Угнетенный и подавленный некоторыми впечатлениями парижской жизни, Куприн в своем очерке «Париж домашний» пытается противопоставить порочным сторонам современной цивилизации «невинные радости» патриархальной жизни. С умилением он изображает последнего парижского извозчика в старомодном клеенчатом низком цилиндре и красном жилете, уютные особнячки округа Пасси, старинные кабачки и другие уходящие из жизни «призраки прошлого.Очерк написан и впервые опубликован в 1927 году в парижской газете «Возрождение».\n|ДА!Медиа|«Париж домашний» - очерк русского писателя Александра Ивановича Куприна (1870-1938). Написан и впервые опубликован в 1927 году в парижской газете «Возрождение».\nЖивя во Франции, Куприн с большим интересом знакомился с бытом, нравами, культурой и искусством чужой страны. Угнетенный и подавленный некоторыми впечатлениями парижской жизни, Куприн в своем очерке «Париж домашний» пытается противопоставить порочным сторонам современной цивилизации «невинные радости» патриархальной жизни. С умилением он изображает последнего парижского извозчика в старомодном клеенчатом низком цилиндре и красном жилете, уютные особнячки округа Пасси, старинные кабачки и другие уходящие из жизни «призраки прошлого».\n|1927|2015|../TableData/BooksPhoto/default_book_cover.png
|Несвоевременные мысли: Заметки о революции и культуре|['Повести']|Горький Максим|../TableData/BooksEpub/Несвоевременные_мысли_Заметки_о_революции_и_культуре_1.epub|223|Книга «Несвоевременные мысли» состоит из заметок, которые Максим Горький писал в петроградской газете «Новая жизнь» с 1 мая 1917 года по 16 июня 1918 года.\nВпервые цикл статей вышел в 1918 году в Берлине, и в него входило 33 статьи. В том же году в Петрограде выпустили дополненное издание с 48 статьями.\nВ заметках Горький обращался к актуальным событиям времени: революции, борьбе за власть, войнам, политике - и живо отзывался на события, происходившие в стране.\n||Это произведение - общепризнанный шедевр мировой художественной литературы, и сегодня не утративший свою содержательную ценность. Оно включено в список «Тысяча лучших произведений мировой художественной литературы в русских переводах, рекомендованных для комплектования школьной библиотеки», подготовленный НИО библиографии Российской государственной библиотеки, Российской государственной детской библиотеки и Российской государственной юношеской библиотеки и перечень, рекомендованный Министерством образования и науки Российской Федерации.\nВ состав экспертной рабочей группы по составлению перечня вошли представители Российской академии наук, Российской академии образования, Минкультуры России, Минрегиона России, представители СМИ, общественных и религиозных организаций, учителя и многие другие.\n|||../TableData/BooksPhoto/default_book_cover.png
